chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate,name
0.44479528,4677.904750574845,3956.6119137231344,8244.1192131308,0.018090993,0.14933136057134572,1
0.36764824,4556.093066905884,4058.2986213760755,7838.335742640661,0.030166501,0.14375521135440836,1
0.3698044,4352.197025680752,3213.8814785510585,6465.706455735209,0.034468327,0.15530176007830626,1
0.38894156,5022.982539902359,4218.6433443551505,8871.080155162414,0.021689108,0.1609356873549884,1
0.35667658,4515.614595615702,3304.8643498124147,6884.130066342807,0.025423426,0.16136505764211137,1
0.39593595,5203.736635471248,4443.860038084992,9623.143511637181,0.016301947,0.15524284911542924,1
0.45311207,5377.64532195039,5160.770801751926,11217.749646534223,0.015827915,0.14459242676914152,1
0.39806262,5396.339139782863,4162.045880292038,9538.159802784223,0.008989859,0.18221727269431554,1
0.44062218,5686.959909379953,5184.070625480694,11670.696327581207,0.01219377,0.1702175627175174,1
0.38216504,5338.068511275888,4628.0765526306495,10173.764002682714,0.02841356,0.16228950659802785,1
0.2786592,4836.143732006311,3679.762732316662,7907.481805575696,0.027144546,0.15204692937935035,1
0.38932315,6071.658852167892,4065.2354051636057,10137.792062427494,0.016801484,0.21723757431844548,1
0.33694082,4617.097262369869,3362.4399740875924,7541.3174303944315,0.029048426,0.1546911252900232,1
0.36064613,5170.744861690684,4060.891871841748,9182.587165566996,0.018204868,0.154274216937355,1
0.3433988,4846.586022423754,3154.246801777183,7159.165526210847,0.022796255,0.1780368601363109,1
0.36699015,5619.129363077226,4212.707989472833,9791.712020555395,0.0154687585,0.1834283461426914,1
0.33638668,5414.1740000266,4152.811468429039,9463.717870867169,0.012277942,0.16914810216067286,1
0.29982245,4410.891619681405,3398.3789931580072,7003.037313297564,0.028764304,0.14433525775812064,1
0.3789887,5894.501951531853,4261.793938735021,10215.031811919953,0.015254802,0.1969450134135731,1
0.4223079,5352.825367921979,3839.177054344285,9288.104856982309,0.021322425,0.17634090414733178,1
0.39561248,4886.280838824425,4389.588354691801,9224.85419536688,0.016005049,0.15064666110788863,1
0.39377382,4862.1017801748385,3266.782337339199,7301.3046512471,0.026782723,0.17697419699825986,1
0.3889744,6105.728352942021,4294.497030635232,10377.205309237239,0.025155718,0.21305036434164734,1
0.48524374,5870.903676444455,3901.376000183264,9700.782949354698,0.016964132,0.21383433330916474,1
0.29872933,4969.291029899038,3524.8850907270275,7866.71360661978,0.017050538,0.16755637325986078,1
0.4493654,5632.138342799437,3876.7377358537137,9220.307741806844,0.012272928,0.2041978592662413,1
0.31771436,4811.511455483997,3460.616023666737,7719.528417742169,0.025974533,0.16164035310324826,1
0.48136818,5881.545049660504,3948.9001228371826,9748.645614305395,0.015030945,0.21223807279582366,1
0.29158816,4909.180355486059,3563.9843329851415,7939.207058439675,0.02067476,0.15934622426044084,1
0.49193034,5658.387641098271,3724.968919859664,9138.371655669953,0.020820701,0.20799081895301624,1
0.31774804,4630.10751185084,3547.3127469790693,7517.08633175029,0.023592964,0.1443273274361949,1
0.35870427,4787.193105221751,3242.7871239496108,7001.038872172274,0.03235881,0.1817573140226218,1
0.3618034,5949.1184879514585,3865.120555033887,9788.96416400812,0.01873751,0.21847583744199536,1
0.4108813,5769.690356390363,3667.700005984073,9139.17103212007,0.020977102,0.2150408751450116,1
0.4403671,5636.634688195295,3802.923921809908,9410.009765625,0.021133255,0.20074363761600927,1
